Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Hermanos Sexos,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número)
2/5/2020 12:29:14,Facultad de Arquitectura,Femenino,19,2,Heterosexual,Ateismo,1.71,69,1,18,No,,CCH,"23,21,6","M,F",40,Secundaria,41,Licenciatura,Cuauhtémoc,No,Sí,4,No,
2/5/2020 12:29:20,Facultad de Arquitectura,Masculino,19,2,Heterosexual,Ateismo,170,82,3,16,Sí, 6 veces,Privada,24,Masculino,55,Licenciatura,54,Licenciatura,Coyoacán,No,Sí,4 veces,Sí,2
2/5/2020 12:29:47,Facultad de Arquitectura,Femenino,22,2,Heterosexual,Agnosticismo,180,70,4,18,Sí,16,Prepa,18,F,52,Maestría,50,Maestría,Coyoacán,Sí,Sí,2,No,0
2/5/2020 12:30:51,Facultad de Arquitectura,Femenino,24,6,Bisexual,Ateismo,1.6,54,4,17,No,,Prepa,17,Mujer,48,Licenciatura,46,Licenciatura,Benito Juárez,No,Sí,4,No,
2/5/2020 12:31:23,Facultad de Arquitectura,Masculino,18,2,Heterosexual,Ateismo,180,63.5,16,15,Sí,4 veces al mes ,CCH,11 y 24,Ambas son mujeres ,47,Licenciatura,49,Licenciatura,Estado de México,Sí,Sí,3 veces al mes ,Sí,1 vez al mes
2/5/2020 12:33:39,Facultad de Arquitectura,Femenino,20,6,Bisexual,Agnosticismo,1.6,60,4,15,Sí,8,Prepa,18 y 10,Femenino y masculino,47,Bachillerato,46,Licenciatura,Iztapalapa,No,Sí,3,Sí,1
2/5/2020 12:35:49,Facultad de Arquitectura,Femenino,19,4,Heterosexual,Catolicismo,160,50,0,0,No,0,Prepa,0,0,52,Licenciatura,52,Maestría,Tláhuac,No,No,0,No,0
2/5/2020 12:36:16,Facultad de Arquitectura,Femenino,18,2,Heterosexual,Catolicismo,1.73,70,1,15,Sí,3,Privada,15,Femenino,46,Licenciatura,46,Licenciatura,Gustavo A. Madero,No,Sí,3,No,0
2/5/2020 12:36:49,Facultad de Arquitectura,Femenino,19,4,Heterosexual,Catolicismo,147,51,0,0,No,,CCH,10 y 17,Hombre y Mujer,58,Doctorado,39,Bachillerato,Milpa Alta,No,No,,No,
2/5/2020 12:39:02,Facultad de Arquitectura,Femenino,19,2,Heterosexual,Catolicismo,1.65,61,,17,No,0,Privada,18,Femenino,54,Licenciatura,47,Licenciatura,Cuauhtémoc,No,Sí,2,No,0
2/5/2020 12:40:31,Facultad de Arquitectura,Masculino,23,2,Heterosexual,Agnosticismo,171,71,3,17,Sí,8,Otro,"1, 12 años",Femenino,51,Bachillerato,45,Carrera Técnica,Gustavo A. Madero,Sí,Sí,4,No,
2/5/2020 12:41:58,Facultad de Arquitectura,Masculino,19,4,Heterosexual,Ateismo,168,63,1,18,Sí,2 o 3,CCH,"21, 46, 32, 36",M y F,72,Licenciatura,52,Maestría,Cuauhtémoc,No,No,0,No,0
2/5/2020 12:43:45,Facultad de Arquitectura,Masculino,21,4,Heterosexual,Ateismo,175,70,1,18,Sí,4 veces,CCH,25,Hermana,63,Licenciatura,52,Maestría,Coyoacán,Sí,Sí,1 vez,No,Cero
2/5/2020 12:44:55,Facultad de Filosofía y Letras,Masculino,19,1,Heterosexual,Ateismo,1.75,61,7,14,Sí,5-7,Prepa,0,0,40,Licenciatura,39,Bachillerato,Iztacalco,Sí,Sí,2-4,Sí,2-4
2/5/2020 12:48:16,Facultad de Arquitectura,Femenino,20,4,Bisexual,Catolicismo,1.63,72,2,18,No,1-2,CCH,"23, 13",Femenino ,48,Licenciatura,47,Maestría,Coyoacán,No,Sí,3,No,
2/5/2020 12:48:32,Facultad de Arquitectura,Masculino,20,4,Heterosexual,Agnosticismo,172,62,2,18,No,:(,Prepa,1-22,Femenini,56,Licenciatura,54,Licenciatura,Cuauhtémoc,No,Sí,Depende,No,-2
2/5/2020 12:48:52,Facultad de Ciencias Politicas y Sociales,Masculino,21,4,Heterosexual,Ateismo,181,75,1,16,Sí,4,Prepa,"30, 28, 20",Femenino ,55,Carrera Técnica,55,Carrera Técnica,Coyoacán,No,Sí,1-2,Sí,1
2/5/2020 12:52:18,Facultad de Arquitectura,Femenino,19,4,Heterosexual,Ateismo,170,60,3,15,Sí,4-7 veces,CCH,16 y 21,F y M,50,Licenciatura,47,Licenciatura,Benito Juárez,Sí,Sí,2-4 veces,No,
2/5/2020 12:55:26,Facultad de Arquitectura,Masculino,20,4,Bisexual,Agnosticismo,170,72,4,13,Sí,1,Otro,27,Hombre ,55,Bachillerato,58,Licenciatura,Iztacalco,Sí,Sí,1,No,
2/5/2020 12:59:03,Facultad de Arquitectura,Femenino,19,4,Heterosexual,Cristianismo,165,70,0,,No,,CCH,25,Masculino,51,Licenciatura,52,Licenciatura,Tlalpan,No,No,0,No,0
2/5/2020 12:59:19,Facultad de Filosofía y Letras,Masculino,22,2,Heterosexual,Cristianismo,174,53,5,17,Sí,4,Otro,26,Masculino ,52,Licenciatura,54,Maestría,Magdalena Contreras,No,Sí,4,No,0
