,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
200,2/5/2020 13:59:47,Facultad de Psicología,Femenino,21,2,Heterosexual,Ateismo,161.0,41.0,2.0,16.0,Sí,5,Privada,18,48.0,Licenciatura,43.0,Licenciatura,Tlalpan,No,No,0,No,0,0,0,0,0,0,1
201,2/5/2020 14:03:39,Facultad de Psicología,Femenino,18,2,Heterosexual,Ateismo,156.0,53.5,2.0,18.0,No,1,Prepa,"3, 10",45.0,Licenciatura,44.0,Licenciatura,Iztapalapa,No,Sí,4,No,0,1,0,0,0,0,1
202,2/5/2020 14:04:07,Facultad de Psicología,Masculino,19,2,Heterosexual,Agnosticismo,175.0,53.0,1.0,17.0,No,0,Prepa,22,60.0,Licenciatura,55.0,Licenciatura,Coyoacán,No,Sí,1,No,0,1,0,0,1,0,0
203,2/5/2020 14:04:15,Facultad de Psicología,Femenino,21,8,Heterosexual,Catolicismo,154.0,50.0,2.0,18.0,No,11,CCH,19,46.0,Secundaria,49.0,Carrera Técnica,Estado de México,No,Sí,2,No,0,0,0,0,0,0,1
204,2/5/2020 14:05:59,Facultad de Psicología,Femenino,20,6,Heterosexual,Catolicismo,151.0,42.0,8.0,17.0,Sí,1,CCH,"32, 34",61.0,Licenciatura,60.0,Maestría,Azcapotzalco,No,Sí,1,No,0,1,0,0,1,0,0
205,2/5/2020 14:06:41,Facultad de Psicología,Masculino,22,8,Heterosexual,Catolicismo,166.0,84.0,0.0,0.0,No,0,Prepa,0,61.0,Licenciatura,54.0,Licenciatura,Iztapalapa,No,No,0,No,0,0,0,0,0,0,1
206,2/5/2020 14:06:46,Facultad de Psicología,Femenino,20,6,Heterosexual,Cristianismo,148.0,50.0,1.0,17.0,Sí,3,CCH,"24, 32 ",55.0,Secundaria,51.0,Carrera Técnica,Iztapalapa,No,Sí,1,No,0,1,1,0,1,0,0
207,2/5/2020 14:07:47,Facultad de Psicología,Masculino,20,6,Heterosexual,Ateismo,172.0,74.0,12.0,12.0,Sí,10,CCH,"16, 28",41.0,Licenciatura,41.0,Licenciatura,Xochimilco,Sí,Sí,1,No,0,1,1,0,0,1,0
208,2/5/2020 14:07:51,Facultad de Psicología,Femenino,20,6,Heterosexual,Agnosticismo,160.0,65.0,2.0,17.0,No,2,Prepa,"17,27,31",51.0,Bachillerato,45.0,Bachillerato,Tlalpan,No,Sí,1,No,0,0,0,0,0,1,0
209,2/5/2020 14:12:33,Facultad de Psicología,Masculino,18,2,Homosexual,Ateismo,167.0,50.0,4.0,15.0,Sí,2,CCH,"2 hermanos, 22 y 26",42.0,Licenciatura,43.0,Maestría,Estado de México,No,No,1,No,1,1,0,0,0,1,0
