,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
21,2/4/2020 12:00:00,8.0,0.0,1.0,1.0,1.0,2.0,13.0,24.0,1.0,5.0,0.0,1.0,0.0,57.0,10.0,3.0,9.0,3.0,12.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22,2/4/2020 12:00:26,8.0,1.0,1.0,1.0,1.0,2.0,35.0,38.0,1.0,6.0,1.0,1.0,2.0,21.0,7.0,2.0,8.0,2.0,6.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
23,2/4/2020 12:04:40,8.0,0.0,3.0,1.0,1.0,2.0,8.0,6.0,3.0,8.0,1.0,14.0,3.0,19.0,12.0,3.0,10.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
24,2/4/2020 12:07:31,8.0,1.0,12.0,10.0,1.0,0.0,28.0,51.0,6.0,9.0,0.0,0.0,1.0,67.0,30.0,1.0,17.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
25,2/4/2020 12:15:35,8.0,0.0,8.0,7.0,1.0,1.0,19.0,14.0,16.0,7.0,1.0,1.0,0.0,95.0,11.0,3.0,15.0,4.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,2/4/2020 12:15:38,8.0,0.0,2.0,1.0,1.0,1.0,30.0,18.0,2.0,6.0,0.0,1.0,2.0,79.0,11.0,3.0,7.0,0.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
27,2/4/2020 12:16:22,8.0,1.0,1.0,1.0,1.0,2.0,20.0,30.0,0.0,0.0,0.0,0.0,2.0,14.0,31.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28,2/4/2020 12:17:11,8.0,1.0,4.0,1.0,1.0,2.0,34.0,27.0,2.0,5.0,0.0,2.0,0.0,63.0,8.0,5.0,6.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29,2/4/2020 12:17:34,8.0,0.0,2.0,1.0,1.0,4.0,22.0,14.0,3.0,5.0,1.0,5.0,0.0,41.0,11.0,1.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,2/4/2020 12:20:25,8.0,1.0,2.0,1.0,1.0,2.0,35.0,30.0,2.0,6.0,0.0,0.0,3.0,88.0,16.0,4.0,18.0,3.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31,2/4/2020 12:22:04,8.0,0.0,2.0,3.0,1.0,2.0,19.0,24.0,3.0,7.0,1.0,2.0,2.0,147.0,8.0,3.0,2.0,5.0,7.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
32,2/4/2020 12:23:06,8.0,1.0,2.0,3.0,0.0,2.0,33.0,44.0,12.0,2.0,1.0,2.0,2.0,83.0,16.0,0.0,14.0,1.0,16.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33,2/4/2020 12:26:16,8.0,0.0,4.0,1.0,1.0,2.0,15.0,5.0,1.0,8.0,1.0,12.0,0.0,49.0,15.0,3.0,11.0,3.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,2/4/2020 12:27:28,12.0,0.0,5.0,7.0,1.0,2.0,17.0,20.0,1.0,11.0,1.0,1.0,3.0,99.0,26.0,3.0,23.0,2.0,12.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35,2/4/2020 12:47:18,10.0,1.0,7.0,7.0,1.0,0.0,15.0,15.0,7.0,7.0,1.0,3.0,1.0,52.0,9.0,5.0,10.0,5.0,13.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
36,2/4/2020 12:47:33,10.0,0.0,4.0,7.0,1.0,1.0,11.0,8.0,1.0,5.0,1.0,1.0,0.0,88.0,18.0,0.0,18.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
37,2/4/2020 12:49:38,10.0,0.0,6.0,9.0,1.0,2.0,14.0,2.0,1.0,5.0,1.0,3.0,2.0,71.0,19.0,4.0,17.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
38,2/4/2020 12:54:23,10.0,0.0,4.0,7.0,1.0,2.0,15.0,5.0,1.0,8.0,1.0,4.0,0.0,88.0,28.0,3.0,27.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39,2/4/2020 12:57:15,10.0,1.0,6.0,7.0,1.0,3.0,22.0,15.0,5.0,5.0,1.0,2.0,2.0,21.0,13.0,3.0,11.0,3.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
40,2/4/2020 13:00:16,10.0,0.0,5.0,7.0,1.0,3.0,18.0,22.0,2.0,8.0,1.0,2.0,2.0,60.0,18.0,3.0,15.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41,2/4/2020 13:03:57,10.0,0.0,4.0,5.0,1.0,2.0,22.0,15.0,1.0,6.0,1.0,5.0,0.0,96.0,16.0,1.0,16.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
42,2/4/2020 13:04:01,10.0,0.0,3.0,5.0,1.0,2.0,20.0,23.0,1.0,8.0,0.0,0.0,2.0,69.0,16.0,0.0,14.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
43,2/4/2020 13:04:07,10.0,0.0,3.0,5.0,1.0,2.0,5.0,17.0,7.0,4.0,1.0,0.0,0.0,27.0,23.0,5.0,16.0,0.0,5.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
44,2/4/2020 13:04:19,10.0,0.0,3.0,5.0,1.0,2.0,5.0,17.0,7.0,4.0,1.0,0.0,0.0,27.0,23.0,5.0,16.0,0.0,5.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
45,2/4/2020 13:08:25,10.0,1.0,5.0,7.0,0.0,2.0,25.0,19.0,5.0,6.0,0.0,1.0,2.0,150.0,11.0,3.0,16.0,3.0,8.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
